Claim Amount,Coverage,Education,Employment Status,Income,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Claim Reason,Sales Channel,Fraudulent
462,Extended,High School,Unemployed,0,Single,133,18,2,Collision,Web,1
652,Extended,College,Employed,72608,Married,82,26,19,Hail,Agent,0
551,Basic,Master,Employed,74960,Single,69,11,44,Collision,CallCenter,0
267,Basic,College,Employed,56342,Single,69,12,89,Hail,CallCenter,0
582,Basic,College,Employed,86824,Married,72,1,76,Collision,CallCenter,0
465,Basic,College,Employed,37530,Married,117,26,58,Collision,CallCenter,0
223,Basic,Bachelor,Unemployed,0,Married,62,19,26,Hail,Branch,0
765,Basic,Bachelor,Employed,53330,Single,65,8,57,Collision,Agent,0
231,Basic,Bachelor,Unemployed,0,Married,63,33,34,Other,CallCenter,0
1196,Extended,College,Employed,52436,Single,76,3,38,Other,Web,0
1132,Premium,Bachelor,Disabled,11885,Divorced,101,18,39,Collision,Agent,0
721,Extended,High School,Unemployed,0,Married,97,26,25,Collision,Agent,0
526,Extended,College,Employed,44536,Single,137,12,22,Collision,Branch,0
479,Basic,Bachelor,Employed,82763,Single,61,28,78,Other,Agent,0
266,Extended,College,Unemployed,0,Divorced,87,4,4,Hail,Agent,0
2764,Basic,Master,Employed,63401,Married,113,21,15,Scratch or Dent,Agent,0
1008,Extended,High School,Retired,11828,Divorced,90,18,84,Collision,Agent,0
569,Basic,Bachelor,Employed,99747,Single,72,28,87,Collision,CallCenter,0
306,Extended,College,Unemployed,0,Single,88,26,73,Collision,Branch,0
495,Basic,High School,Employed,78796,Divorced,61,15,3,Hail,CallCenter,0
861,Basic,Bachelor,Employed,79090,Married,107,2,74,Hail,Branch,0
516,Basic,College,Employed,43906,Divorced,65,6,53,Collision,Web,0
375,Extended,High School,Employed,82189,Divorced,94,20,17,Hail,Web,1
746,Extended,College,Employed,70263,Married,93,30,66,Hail,CallCenter,0
1506,Extended,Master,Disabled,19132,Single,207,25,15,Other,Agent,0
966,Extended,High School,Unemployed,0,Married,131,34,61,Collision,Agent,0
280,Basic,Master,Employed,78127,Married,69,5,6,Scratch or Dent,CallCenter,0
276,Basic,Bachelor,Employed,92296,Married,69,4,65,Hail,Agent,0
539,Basic,Doctor,Unemployed,0,Married,74,19,8,Other,Agent,0
539,Basic,High School,Employed,80550,Married,68,16,67,Collision,Branch,0
357,Extended,College,Employed,51950,Married,89,34,90,Collision,Web,0
561,Basic,College,Disabled,20392,Married,73,23,85,Hail,Branch,0
475,Basic,College,Employed,30886,Divorced,61,8,36,Hail,Agent,0
224,Basic,Bachelor,Unemployed,0,Single,66,2,76,Other,Web,1
736,Basic,Bachelor,Employed,33089,Married,61,10,61,Collision,Web,0
1328,Extended,College,Unemployed,0,Single,132,20,22,Collision,Agent,0
689,Basic,College,Unemployed,0,Single,68,8,72,Collision,Agent,0
397,Basic,College,Employed,72439,Married,100,5,22,Hail,Web,0
1655,Extended,Bachelor,Employed,81639,Single,82,33,26,Hail,CallCenter,0
545,Basic,College,Employed,68815,Married,68,29,37,Other,Branch,0
464,Basic,College,Unemployed,0,Married,63,0,42,Collision,Agent,0
532,Basic,Bachelor,Employed,25134,Married,67,3,0,Hail,CallCenter,0
249,Basic,High School,Medical Leave,25965,Divorced,65,23,27,Collision,Agent,0
1230,Basic,High School,Employed,55193,Married,105,8,22,Scratch or Dent,Branch,0
627,Extended,College,Retired,18577,Divorced,86,21,76,Collision,Branch,0
637,Extended,High School,Employed,44368,Married,80,5,72,Hail,CallCenter,0
601,Extended,College,Retired,13528,Single,86,21,35,Collision,Agent,0
1198,Basic,Master,Retired,21514,Married,62,0,59,Collision,Agent,0
1189,Basic,High School,Unemployed,0,Married,105,7,20,Scratch or Dent,Agent,0
1711,Extended,Bachelor,Employed,87139,Married,213,18,27,Other,Agent,0
472,Basic,High School,Employed,20355,Married,61,4,6,Hail,Branch,0
478,Basic,Bachelor,Unemployed,0,Divorced,73,8,17,Hail,Agent,0
240,Basic,Bachelor,Employed,46210,Married,61,24,44,Hail,Branch,0
1320,Basic,College,Unemployed,0,Single,68,19,2,Collision,Agent,0
2923,Premium,High School,Medical Leave,28613,Single,114,17,8,Collision,Agent,0
851,Basic,Master,Disabled,26057,Divorced,74,3,63,Collision,CallCenter,0
477,Basic,Bachelor,Unemployed,0,Single,73,1,31,Other,Web,1
911,Premium,High School,Employed,76700,Married,112,13,60,Hail,Branch,0
766,Basic,Bachelor,Unemployed,0,Single,109,5,95,Hail,CallCenter,1
260,Basic,Master,Employed,45181,Married,65,21,68,Other,CallCenter,0
882,Basic,High School,Employed,99845,Married,110,23,25,Hail,Branch,0
686,Basic,Bachelor,Unemployed,0,Single,101,31,1,Other,Web,1
711,Extended,High School,Employed,92423,Married,88,5,79,Hail,Branch,0
284,Basic,Doctor,Employed,43793,Married,71,8,31,Hail,Agent,0
1285,Basic,College,Employed,93210,Married,107,6,9,Collision,Agent,0
350,Extended,Bachelor,Employed,58484,Divorced,88,15,65,Collision,Web,0
601,Extended,High School,Employed,26876,Single,76,17,72,Collision,Agent,0
434,Basic,Bachelor,Employed,48054,Married,109,2,64,Collision,CallCenter,0
2540,Extended,Bachelor,Employed,36800,Single,91,20,18,Hail,Agent,0
447,Basic,College,Employed,28663,Married,61,15,8,Other,Agent,0
785,Extended,College,Employed,54431,Married,97,19,62,Collision,Agent,0
425,Basic,Bachelor,Employed,27608,Divorced,108,30,89,Collision,Branch,0
607,Extended,Bachelor,Retired,22103,Divorced,89,4,74,Hail,CallCenter,0
673,Basic,College,Unemployed,0,Single,103,13,20,Collision,Branch,0
259,Basic,Doctor,Employed,46168,Married,65,1,7,Hail,Agent,0
731,Extended,College,Employed,83221,Married,91,21,63,Other,Web,0
853,Premium,Bachelor,Employed,98677,Married,105,3,40,Collision,Branch,0
862,Basic,High School,Employed,46379,Single,72,11,57,Scratch or Dent,CallCenter,1
496,Basic,College,Employed,62803,Married,62,16,12,Hail,Web,0
1226,Premium,Bachelor,Unemployed,0,Single,177,0,6,Scratch or Dent,Branch,0
962,Extended,College,Unemployed,0,Single,134,26,88,Hail,Agent,0
708,Extended,Bachelor,Disabled,28139,Married,97,31,65,Collision,Branch,0
705,Extended,College,Employed,52982,Divorced,89,8,54,Collision,CallCenter,0
537,Basic,Bachelor,Employed,77095,Divorced,68,22,59,Scratch or Dent,Agent,0
431,Basic,College,Employed,26322,Married,111,8,94,Scratch or Dent,Branch,0
597,Extended,College,Medical Leave,25125,Single,81,12,91,Collision,Agent,0
888,Basic,High School,Employed,52583,Single,113,12,59,Collision,Agent,0
446,Basic,Bachelor,Retired,17622,Divorced,65,1,36,Collision,Agent,0
557,Basic,Master,Employed,90607,Single,70,8,89,Hail,Web,1
581,Basic,Bachelor,Employed,42795,Married,73,2,38,Scratch or Dent,Branch,0
837,Premium,High School,Disabled,27042,Divorced,110,17,3,Hail,Branch,0
728,Basic,College,Employed,27984,Married,62,7,51,Scratch or Dent,CallCenter,0
1508,Extended,High School,Employed,26021,Married,126,6,32,Other,Agent,0
846,Basic,High School,Disabled,25448,Married,71,11,59,Other,Web,0
801,Basic,Bachelor,Employed,52009,Married,68,20,29,Collision,Agent,0
251,Basic,High School,Medical Leave,23504,Single,69,19,56,Collision,Agent,0
411,Basic,High School,Unemployed,0,Single,71,16,90,Collision,Agent,0
437,Basic,Master,Employed,40774,Married,110,28,59,Collision,Agent,0
736,Extended,College,Employed,36812,Married,92,23,98,Collision,Branch,0
1066,Extended,Bachelor,Employed,72540,Married,88,7,3,Hail,CallCenter,0
537,Basic,Bachelor,Employed,51240,Single,70,0,37,Hail,Branch,0
605,Extended,College,Employed,20396,Married,76,15,60,Collision,Branch,0
289,Basic,High School,Employed,35654,Married,72,17,19,Hail,Branch,0
264,Basic,High School,Employed,93884,Married,65,7,10,Other,Branch,0
241,Basic,Bachelor,Unemployed,0,Single,68,6,35,Scratch or Dent,Web,1
834,Basic,Bachelor,Employed,30344,Divorced,107,29,79,Collision,Branch,0
249,Basic,Bachelor,Employed,28738,Divorced,62,2,95,Collision,Agent,0
921,Basic,High School,Employed,70958,Married,115,1,57,Collision,Agent,0
1641,Premium,Bachelor,Employed,22103,Single,109,16,31,Collision,Agent,0
702,Basic,College,Unemployed,0,Single,103,29,91,Collision,Agent,0
548,Basic,Bachelor,Employed,70795,Married,68,10,95,Hail,CallCenter,0
1038,Extended,Master,Employed,32821,Married,129,35,40,Collision,Branch,0
550,Basic,College,Medical Leave,22520,Married,73,17,64,Collision,Branch,0
485,Basic,High School,Unemployed,0,Single,72,31,75,Other,Agent,1
1472,Extended,College,Employed,56263,Married,93,27,31,Hail,Agent,0
966,Basic,Bachelor,Unemployed,0,Single,72,17,52,Collision,Agent,0
447,Basic,College,Unemployed,0,Single,64,25,33,Collision,CallCenter,0
2142,Basic,Bachelor,Unemployed,0,Married,65,9,31,Hail,Agent,0
253,Basic,College,Employed,31993,Divorced,66,14,4,Collision,Branch,0
838,Premium,College,Employed,40994,Married,106,8,94,Hail,Agent,0
509,Basic,Bachelor,Employed,29638,Married,64,19,16,Other,Branch,0
1335,Premium,College,Unemployed,0,Married,119,18,65,Collision,Agent,0
1421,Basic,College,Disabled,26056,Married,73,17,73,Collision,Branch,0
1023,Extended,Doctor,Medical Leave,22821,Married,131,26,99,Other,CallCenter,0
1544,Extended,College,Employed,84581,Married,96,25,50,Other,Web,0
864,Basic,High School,Medical Leave,22193,Married,74,13,74,Hail,Branch,0
733,Basic,Bachelor,Employed,30969,Divorced,63,26,79,Collision,CallCenter,0
746,Extended,College,Employed,70263,Married,93,30,66,Hail,CallCenter,0
364,Extended,High School,Employed,35056,Married,96,12,52,Other,CallCenter,0
553,Basic,College,Employed,73435,Married,69,9,25,Collision,Branch,0
434,Premium,High School,Employed,86096,Married,108,30,1,Hail,CallCenter,0
483,Extended,High School,Unemployed,0,Single,139,6,9,Collision,CallCenter,0
927,Basic,Master,Employed,55808,Married,116,31,4,Hail,CallCenter,0
1470,Extended,Bachelor,Employed,29695,Married,94,34,66,Hail,Branch,0
491,Basic,Bachelor,Employed,88043,Married,61,2,43,Hail,Web,0
729,Extended,College,Employed,60875,Married,92,0,84,Collision,Branch,0
848,Extended,Bachelor,Unemployed,0,Married,77,25,48,Collision,Branch,0
795,Basic,High School,Unemployed,0,Single,118,0,67,Collision,CallCenter,1
287,Basic,Bachelor,Employed,70974,Married,71,15,0,Collision,Agent,0
1053,Extended,Bachelor,Employed,37518,Married,131,35,91,Collision,Branch,0
550,Basic,College,Employed,28128,Married,70,6,52,Scratch or Dent,Agent,0
709,Extended,Bachelor,Employed,45254,Divorced,93,4,25,Scratch or Dent,Web,0
2642,Basic,Doctor,Employed,85537,Married,108,4,91,Hail,CallCenter,0
273,Basic,Master,Employed,74608,Married,68,11,4,Scratch or Dent,Web,0
1181,Basic,High School,Employed,41004,Married,102,15,26,Collision,CallCenter,0
409,Premium,Master,Employed,38884,Married,102,4,87,Other,Branch,0
518,Basic,Master,Employed,97131,Married,64,5,80,Hail,Agent,0
617,Extended,Master,Unemployed,0,Divorced,84,6,93,Collision,Web,0
249,Basic,College,Employed,22331,Divorced,64,11,12,Hail,Web,0
1309,Basic,Bachelor,Employed,37541,Married,109,10,31,Collision,Branch,0
469,Basic,Bachelor,Disabled,27357,Married,61,19,48,Collision,Web,0
270,Basic,Doctor,Unemployed,0,Married,72,19,48,Scratch or Dent,CallCenter,0
1132,Premium,Bachelor,Disabled,11885,Divorced,101,18,39,Collision,Agent,0
868,Premium,Bachelor,Employed,52717,Married,109,5,60,Scratch or Dent,Agent,0
598,Extended,High School,Employed,57693,Divorced,76,16,56,Hail,Agent,0
1100,Basic,High School,Unemployed,0,Single,104,29,73,Scratch or Dent,Branch,1
1172,Basic,Bachelor,Employed,73903,Married,73,30,39,Hail,Web,0
4246,Premium,Bachelor,Unemployed,0,Married,281,16,92,Collision,Branch,0
694,Basic,College,Unemployed,0,Single,111,3,73,Collision,Agent,0
255,Basic,College,Employed,79452,Single,65,33,75,Hail,CallCenter,0
1066,Extended,Bachelor,Employed,72540,Married,88,7,3,Hail,CallCenter,0
933,Basic,College,Employed,89513,Married,116,5,12,Hail,Branch,0
751,Basic,College,Employed,60920,Single,64,10,61,Hail,Agent,0
532,Basic,High School,Employed,88669,Married,66,9,18,Collision,CallCenter,0
861,Basic,Bachelor,Employed,79090,Married,107,2,74,Hail,Branch,0
1230,Basic,High School,Medical Leave,17101,Single,113,1,88,Collision,CallCenter,0
729,Basic,High School,Employed,44788,Married,61,6,48,Hail,Agent,0
671,Extended,Master,Unemployed,0,Married,93,8,42,Collision,Agent,0
281,Basic,Bachelor,Employed,26790,Married,71,4,41,Hail,Agent,0
1532,Extended,Bachelor,Employed,81955,Married,126,3,21,Collision,Web,0
849,Basic,High School,Employed,80213,Married,70,12,17,Collision,Branch,0
238,Basic,Doctor,Unemployed,0,Divorced,66,3,21,Other,CallCenter,0
1333,Premium,Bachelor,Employed,47950,Married,170,23,86,Collision,Branch,0
312,Basic,Bachelor,Unemployed,0,Married,101,1,83,Collision,Agent,0
238,Basic,Doctor,Unemployed,0,Married,65,8,50,Scratch or Dent,Web,1
781,Basic,High School,Employed,72353,Divorced,66,27,15,Hail,Web,1
1402,Premium,High School,Employed,81872,Married,115,10,55,Hail,Web,1
533,Basic,Bachelor,Employed,74606,Divorced,68,2,34,Other,Agent,0
970,Extended,High School,Unemployed,0,Single,138,23,54,Collision,Branch,0
570,Basic,High School,Employed,41438,Single,72,8,39,Collision,Branch,0
428,Basic,Bachelor,Employed,52679,Divorced,110,25,21,Hail,Branch,0
340,Basic,High School,Unemployed,0,Single,101,4,60,Scratch or Dent,Agent,1
1104,Basic,Bachelor,Employed,44524,Married,70,28,42,Other,Web,0
324,Extended,Master,Employed,60244,Married,83,3,72,Scratch or Dent,Agent,0
2581,Extended,High School,Employed,22711,Married,82,8,74,Hail,Branch,0
1750,Basic,College,Unemployed,0,Divorced,73,9,94,Collision,Agent,0
2226,Basic,Bachelor,Employed,50398,Single,71,18,51,Scratch or Dent,Web,1
901,Extended,College,Unemployed,0,Married,86,19,99,Collision,Web,0
990,Basic,High School,Unemployed,0,Single,66,1,73,Collision,Web,1
743,Basic,High School,Unemployed,0,Single,102,16,34,Hail,CallCenter,1
815,Premium,Bachelor,Unemployed,0,Single,114,11,20,Hail,Branch,0
496,Basic,High School,Employed,87197,Single,63,35,45,Hail,Branch,1
654,Basic,Bachelor,Unemployed,0,Single,100,22,24,Hail,Web,1
945,Basic,High School,Employed,85221,Married,117,11,42,Hail,Branch,0
752,Extended,High School,Employed,96306,Divorced,95,12,17,Collision,Agent,0
241,Basic,Bachelor,Unemployed,0,Married,66,3,97,Other,Web,0
1704,Basic,High School,Disabled,22249,Married,64,4,88,Other,CallCenter,0
440,Basic,High School,Unemployed,0,Single,62,6,62,Collision,Agent,0
547,Extended,Bachelor,Employed,54507,Married,138,20,11,Hail,Agent,0
317,Premium,College,Unemployed,0,Married,101,34,52,Collision,CallCenter,0
1326,Basic,College,Medical Leave,20754,Divorced,184,19,15,Collision,Agent,0
1305,Premium,College,Unemployed,0,Single,190,21,35,Scratch or Dent,Branch,0
256,Basic,High School,Employed,30027,Married,65,13,10,Hail,Branch,0
339,Extended,Bachelor,Employed,23156,Married,88,9,6,Other,Agent,0
644,Extended,High School,Unemployed,0,Single,93,7,85,Collision,Agent,0
708,Extended,College,Employed,23222,Married,90,10,66,Scratch or Dent,Branch,0
242,Basic,College,Unemployed,0,Married,65,16,90,Collision,Branch,0
2049,Premium,Master,Employed,27317,Married,102,30,12,Scratch or Dent,Agent,0
781,Basic,College,Retired,21073,Divorced,106,25,54,Collision,Agent,0
2206,Extended,College,Unemployed,0,Single,225,26,53,Collision,Agent,0
1122,Extended,High School,Employed,69268,Married,93,31,20,Hail,Agent,0
543,Basic,High School,Employed,74561,Married,68,0,23,Scratch or Dent,Web,1
259,Basic,High School,Employed,72421,Married,65,8,23,Hail,CallCenter,0
260,Basic,Master,Unemployed,0,Divorced,71,4,18,Hail,Branch,0
843,Basic,Bachelor,Employed,57961,Divorced,72,27,64,Collision,Agent,0
297,Extended,College,Employed,35205,Married,76,7,11,Hail,Agent,0
538,Basic,Master,Unemployed,0,Divorced,74,19,41,Collision,Web,1
806,Basic,High School,Employed,72309,Single,68,3,51,Other,Branch,0
844,Basic,Bachelor,Employed,76352,Single,109,17,9,Collision,Agent,0
966,Basic,High School,Unemployed,0,Single,100,30,4,Hail,CallCenter,1
818,Basic,College,Employed,29057,Married,102,22,24,Hail,Agent,0
235,Basic,Bachelor,Unemployed,0,Single,66,11,73,Collision,Agent,0
806,Basic,Bachelor,Employed,25595,Married,101,5,86,Scratch or Dent,CallCenter,0
801,Basic,Bachelor,Employed,58058,Married,67,28,49,Hail,CallCenter,0
1647,Basic,Bachelor,Retired,22828,Married,106,11,54,Collision,Agent,0
591,Extended,College,Unemployed,0,Married,81,8,47,Other,Branch,0
826,Basic,Bachelor,Disabled,23815,Married,73,4,47,Hail,CallCenter,0
495,Basic,Bachelor,Employed,45329,Married,65,13,7,Other,CallCenter,0
4303,Basic,Master,Employed,59349,Married,119,15,41,Hail,Web,0
379,Premium,College,Retired,19794,Married,105,1,78,Other,CallCenter,0
254,Basic,Bachelor,Employed,92401,Divorced,64,30,37,Other,Agent,0
803,Basic,Bachelor,Unemployed,0,Married,109,10,20,Collision,Branch,0
779,Extended,College,Employed,83000,Married,97,29,76,Collision,Branch,0
526,Basic,College,Employed,77693,Married,65,30,15,Hail,CallCenter,0
826,Basic,Bachelor,Employed,62902,Married,69,14,94,Hail,Web,0
245,Basic,Master,Unemployed,0,Married,70,5,70,Other,Branch,0
431,Basic,College,Employed,43386,Single,111,17,35,Collision,CallCenter,0
556,Basic,Bachelor,Medical Leave,29120,Married,72,31,77,Collision,Agent,0
869,Basic,Bachelor,Employed,48893,Married,110,9,26,Collision,Branch,0
1183,Premium,College,Employed,92931,Married,146,6,38,Collision,Branch,0
451,Premium,College,Medical Leave,15462,Married,115,34,18,Collision,Web,0
416,Basic,Bachelor,Unemployed,0,Single,62,1,64,Collision,Agent,0
446,Basic,College,Employed,70088,Married,112,0,33,Hail,CallCenter,0
252,Basic,College,Employed,25558,Married,63,31,11,Hail,Branch,0
801,Basic,High School,Unemployed,0,Divorced,112,12,93,Collision,Web,1
990,Extended,Master,Unemployed,0,Married,134,24,51,Collision,Agent,0
1228,Premium,Bachelor,Employed,36328,Married,155,6,21,Collision,Agent,0
4447,Extended,High School,Employed,32948,Single,127,20,46,Collision,CallCenter,0
818,Basic,Bachelor,Employed,69114,Divorced,103,9,68,Hail,Agent,0
1601,Extended,High School,Employed,45302,Divorced,133,4,34,Scratch or Dent,Branch,0
636,Extended,High School,Unemployed,0,Married,88,28,23,Other,Branch,0
874,Basic,College,Employed,53173,Single,112,30,57,Collision,CallCenter,0
433,Extended,Bachelor,Retired,23904,Single,123,1,67,Collision,Agent,0
438,Premium,Bachelor,Employed,63774,Divorced,111,18,63,Hail,Agent,0
929,Basic,College,Employed,67544,Married,116,2,15,Collision,Branch,0
254,Basic,College,Employed,26691,Married,65,7,51,Scratch or Dent,Agent,0
658,Basic,High School,Unemployed,0,Single,62,3,44,Collision,Agent,0
469,Basic,College,Employed,58089,Married,118,31,83,Collision,Agent,0
1433,Extended,Bachelor,Unemployed,0,Married,136,30,75,Collision,Agent,0
1274,Basic,Bachelor,Employed,99583,Divorced,64,35,85,Scratch or Dent,Branch,0
243,Basic,Bachelor,Unemployed,0,Married,68,28,65,Scratch or Dent,Branch,0
2511,Basic,Bachelor,Medical Leave,24410,Married,73,5,51,Scratch or Dent,Web,0
1343,Basic,Bachelor,Employed,68956,Single,118,12,8,Scratch or Dent,CallCenter,0
275,Basic,High School,Unemployed,0,Married,73,29,82,Collision,CallCenter,0
865,Basic,College,Medical Leave,20588,Married,113,6,86,Collision,Branch,0
706,Extended,Bachelor,Employed,37840,Married,90,31,9,Hail,Agent,0
591,Basic,Bachelor,Employed,43440,Married,74,13,52,Collision,Branch,0
294,Basic,Master,Employed,83195,Single,73,18,36,Collision,CallCenter,0
497,Basic,High School,Unemployed,0,Single,70,18,74,Collision,CallCenter,1
427,Basic,High School,Employed,43209,Single,110,12,16,Collision,Web,1
460,Basic,High School,Employed,37308,Married,115,2,51,Collision,Web,0
240,Basic,Master,Disabled,22239,Married,62,34,85,Hail,Branch,0
764,Extended,Doctor,Employed,66106,Married,95,10,25,Scratch or Dent,Agent,0
462,Basic,High School,Employed,97065,Single,117,10,0,Other,Branch,0
547,Basic,College,Employed,24910,Married,69,12,79,Scratch or Dent,Agent,0
500,Basic,Master,Employed,49414,Single,68,8,82,Collision,Agent,0
1596,Extended,High School,Employed,61148,Married,132,28,25,Hail,Branch,0
928,Premium,Bachelor,Employed,52494,Single,119,5,69,Hail,Agent,0
760,Basic,High School,Retired,20538,Divorced,104,25,64,Collision,Agent,0
2426,Extended,High School,Unemployed,0,Single,89,35,22,Collision,Agent,0
2464,Basic,High School,Employed,73716,Married,103,2,91,Collision,CallCenter,0
281,Basic,Bachelor,Employed,26790,Married,71,4,41,Hail,Agent,0
234,Basic,Bachelor,Unemployed,0,Single,65,31,52,Hail,Agent,0
467,Basic,High School,Employed,53252,Married,117,1,76,Hail,Web,0
1097,Extended,Doctor,Employed,24164,Divorced,137,2,40,Hail,Agent,0
3461,Basic,High School,Employed,20090,Married,109,10,59,Hail,Agent,0
248,Basic,College,Employed,81721,Single,63,11,5,Hail,Web,1
2620,Basic,High School,Disabled,18495,Married,113,10,15,Collision,Branch,0
628,Extended,Bachelor,Employed,42314,Married,80,23,78,Scratch or Dent,Web,0
1095,Extended,Bachelor,Employed,89892,Single,135,9,6,Collision,CallCenter,0
316,Extended,Bachelor,Unemployed,0,Single,92,33,41,Collision,Agent,0
780,Premium,Bachelor,Unemployed,0,Married,117,18,84,Collision,Branch,0
521,Basic,Doctor,Employed,21576,Married,65,27,16,Other,Web,0
289,Extended,High School,Retired,10312,Married,78,10,63,Hail,Agent,0
248,Basic,College,Employed,50632,Married,62,26,42,Scratch or Dent,Agent,0
490,Extended,High School,Unemployed,0,Single,139,5,29,Hail,Branch,0
493,Basic,High School,Employed,97917,Single,67,14,32,Other,Agent,0
876,Basic,College,Medical Leave,28280,Married,116,7,55,Hail,Web,0
1128,Extended,High School,Employed,86195,Married,139,12,10,Collision,Agent,0
432,Basic,Master,Employed,89797,Married,106,19,8,Hail,Web,1
449,Basic,College,Unemployed,0,Married,63,16,5,Hail,Agent,0
675,Basic,High School,Unemployed,0,Single,192,1,27,Hail,CallCenter,1
2880,Extended,College,Employed,33635,Married,240,1,23,Collision,Web,0
1450,Basic,Bachelor,Medical Leave,29790,Married,194,25,49,Collision,Agent,0
827,Basic,High School,Employed,44656,Married,70,2,80,Hail,Branch,0
1273,Basic,Doctor,Employed,40870,Married,105,3,56,Collision,Agent,0
417,Basic,College,Unemployed,0,Married,117,8,64,Scratch or Dent,Agent,0
1046,Extended,High School,Employed,28363,Divorced,133,0,35,Collision,Agent,0
707,Extended,Bachelor,Employed,94508,Married,88,27,54,Other,Agent,0
705,Basic,High School,Unemployed,0,Married,64,24,73,Collision,Branch,0
1336,Extended,Doctor,Unemployed,0,Divorced,124,13,1,Scratch or Dent,Agent,0
1871,Extended,College,Unemployed,0,Single,77,10,36,Collision,Branch,0
817,Basic,Bachelor,Unemployed,0,Single,116,10,99,Collision,Branch,0
858,Premium,High School,Disabled,18017,Divorced,114,23,54,Hail,CallCenter,0
1223,Basic,High School,Unemployed,0,Single,117,15,68,Hail,Branch,1
719,Extended,High School,Employed,63741,Single,91,25,15,Scratch or Dent,CallCenter,1
906,Basic,High School,Employed,57078,Married,113,26,13,Collision,CallCenter,0
234,Basic,High School,Unemployed,0,Single,67,21,28,Hail,Agent,1
800,Basic,Bachelor,Employed,25239,Divorced,100,30,59,Scratch or Dent,Branch,0
590,Basic,High School,Employed,29227,Married,74,0,83,Collision,Branch,0
394,Extended,Bachelor,Employed,60021,Married,99,12,28,Hail,Agent,0
270,Basic,Bachelor,Unemployed,0,Single,73,23,59,Collision,Branch,0
546,Basic,High School,Employed,83208,Married,68,10,93,Hail,CallCenter,1
1072,Extended,Bachelor,Employed,25983,Married,90,32,43,Hail,Web,0
249,Basic,High School,Medical Leave,25965,Divorced,65,23,27,Collision,Agent,0
557,Basic,College,Disabled,22679,Married,72,25,32,Collision,Branch,0
510,Basic,High School,Employed,41186,Single,70,15,29,Collision,Agent,0
763,Basic,High School,Unemployed,0,Divorced,67,7,4,Hail,Agent,1
466,Basic,College,Employed,29070,Married,61,8,99,Scratch or Dent,CallCenter,0
436,Basic,Bachelor,Unemployed,0,Single,63,13,49,Collision,Agent,0
253,Basic,College,Employed,33485,Married,63,6,41,Other,CallCenter,0
512,Basic,High School,Employed,58206,Married,64,2,56,Scratch or Dent,Branch,0
248,Basic,High School,Employed,87492,Married,62,15,69,Scratch or Dent,Agent,0
349,Extended,Bachelor,Unemployed,0,Married,98,29,37,Hail,CallCenter,0
733,Premium,Bachelor,Employed,20757,Single,102,6,74,Collision,Agent,0
484,Basic,College,Employed,23449,Married,61,33,2,Hail,Web,0
1996,Basic,College,Unemployed,0,Single,192,35,34,Collision,Web,1
3245,Basic,College,Employed,60455,Single,104,20,25,Other,Agent,0
263,Extended,High School,Unemployed,0,Single,89,12,73,Collision,Branch,0
310,Extended,High School,Employed,53588,Married,77,10,71,Hail,Branch,0
1273,Basic,Doctor,Employed,40870,Married,105,3,56,Collision,Agent,0
263,Basic,Bachelor,Unemployed,0,Married,71,11,68,Hail,CallCenter,0
3598,Extended,High School,Unemployed,0,Single,129,2,69,Collision,Agent,0
291,Basic,High School,Employed,45128,Married,72,13,34,Other,Branch,0
1063,Extended,Bachelor,Employed,90874,Married,137,18,28,Collision,CallCenter,0
759,Extended,High School,Employed,52823,Married,95,7,15,Hail,Branch,0
511,Basic,College,Disabled,26784,Married,67,14,82,Scratch or Dent,Branch,0
1399,Basic,College,Employed,22354,Married,118,27,9,Collision,CallCenter,0
312,Extended,College,Employed,54420,Single,80,27,0,Hail,CallCenter,0
1337,Basic,College,Employed,50800,Married,112,1,45,Collision,CallCenter,0
862,Extended,College,Unemployed,0,Single,87,12,12,Collision,CallCenter,0
1036,Basic,College,Employed,84583,Married,65,6,50,Hail,Branch,0
324,Extended,Bachelor,Employed,33701,Single,88,14,22,Collision,Agent,0
434,Basic,Bachelor,Unemployed,0,Single,63,21,27,Scratch or Dent,Branch,0
533,Basic,Doctor,Employed,68931,Married,66,32,30,Hail,Branch,0
769,Premium,College,Unemployed,0,Married,105,1,37,Other,Web,0
2622,Basic,High School,Unemployed,0,Single,115,22,15,Collision,CallCenter,1
693,Premium,College,Employed,29318,Single,198,29,96,Hail,Agent,0
1161,Basic,College,Employed,41503,Married,73,28,69,Collision,Agent,0
894,Extended,High School,Unemployed,0,Married,126,16,69,Collision,Branch,0
246,Basic,Bachelor,Unemployed,0,Divorced,69,9,68,Collision,CallCenter,0
230,Basic,Bachelor,Retired,25905,Divorced,63,21,12,Collision,Agent,0
408,Basic,College,Unemployed,0,Single,116,18,86,Collision,Agent,0
287,Basic,College,Employed,40046,Divorced,73,10,51,Collision,Agent,0
443,Basic,High School,Employed,58577,Married,110,6,62,Collision,Agent,0
406,Premium,Bachelor,Employed,70129,Married,103,24,57,Collision,Branch,0
1850,Extended,Master,Employed,91268,Married,229,32,62,Hail,Agent,0
490,Extended,College,Retired,12902,Divorced,139,3,51,Collision,Agent,0
1083,Extended,High School,Employed,62053,Married,134,3,89,Collision,Web,0
575,Basic,Bachelor,Employed,30389,Married,73,34,66,Hail,Web,0
242,Basic,Bachelor,Medical Leave,15585,Married,65,22,24,Collision,Agent,0
